id,code,item_set_version,kind,domain,facet,keyed,anchor,block_no,linking,status,quality_rule,text_ja,screening,note
2001,V02-D01-01,0.2,personality,D01,交流の開始,1,true,,false,candidate,,普段、身近な人に自分から話しかける。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2002,V02-D01-02,0.2,personality,D01,一人の時間,-1,true,,false,candidate,,普段、空いた時間はなるべく一人で過ごしたい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2003,V02-D01-03,0.2,personality,D01,出来事の共有,1,false,0,false,candidate,,普段、ちょっとした出来事があると、誰かに話したくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2004,V02-D01-04,0.2,personality,D01,初対面の接近,-1,false,1,false,candidate,,普段、初対面の人とは、相手が話しかけてくれるのを待つことが多い。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2005,V02-D01-05,0.2,personality,D01,共同での活動,1,false,2,false,candidate,,普段、一人でできることでも、誰かと一緒にやるほうが好きだ。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2006,V02-D01-06,0.2,personality,D01,交流の頻度,-1,false,3,false,candidate,,普段、人とあまり話さない日が何日か続いても平気だ。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2007,V02-D01-07,0.2,personality,D01,関係の広がり,1,false,4,false,candidate,,普段、知り合いを通じて、新しい人と知り合う機会をつくろうとする。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2008,V02-D01-08,0.2,personality,D01,集まりでの距離,-1,false,5,false,candidate,,普段、人が集まる場では、輪から少し離れたところにいることが多い。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2009,V02-D01-09,0.2,personality,D01,関係の深まり,1,false,6,false,candidate,,普段、親しい人とは、お互いの近況をゆっくり話したい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2010,V02-D01-10,0.2,personality,D01,活動後の過ごし方,-1,false,7,false,candidate,,普段、人と過ごしたあとは、一人の時間をとりたくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2011,V02-D01-11,0.2,personality,D01,会話の継続,1,false,8,false,candidate,,普段、用件が済んだあとも、そのまま相手と話していたい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2012,V02-D01-12,0.2,personality,D01,連絡の間隔,-1,false,9,false,candidate,,普段、親しい人とも、連絡はたまに取るくらいがちょうどいい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2013,V02-D01-13,0.2,personality,D01,日常の同伴,1,false,0,false,candidate,,普段、ちょっとした用事でも、誰かを誘って行きたくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2014,V02-D01-14,0.2,personality,D01,話題の持ち出し,-1,false,1,false,candidate,,普段、自分の近況は、聞かれてから話すことが多い。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2015,V02-D01-15,0.2,personality,D01,交流への時間配分,1,false,2,false,candidate,,普段、自由な時間があれば、その一部は人と過ごすのに使いたい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2016,V02-D01-16,0.2,personality,D01,会話の区切り,-1,false,3,false,candidate,,普段、人との会話は、短めのほうが気楽だ。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
